epoch #0	mean reward = -11.350	epsilon = 0.300
epoch #1	mean reward = -14.820	epsilon = 0.297
epoch #2	mean reward = -11.790	epsilon = 0.294
epoch #3	mean reward = -17.070	epsilon = 0.291
epoch #4	mean reward = -9.720	epsilon = 0.288
epoch #5	mean reward = -15.020	epsilon = 0.285
epoch #6	mean reward = -6.170	epsilon = 0.282
epoch #7	mean reward = -8.510	epsilon = 0.280
epoch #8	mean reward = -12.720	epsilon = 0.277
epoch #9	mean reward = -9.390	epsilon = 0.274
epoch #10	mean reward = -9.590	epsilon = 0.271
epoch #11	mean reward = -12.210	epsilon = 0.269
epoch #12	mean reward = -5.740	epsilon = 0.266
epoch #13	mean reward = -9.100	epsilon = 0.263
epoch #14	mean reward = -12.900	epsilon = 0.261
epoch #15	mean reward = -10.120	epsilon = 0.258
epoch #16	mean reward = -6.990	epsilon = 0.255
epoch #17	mean reward = -5.780	epsilon = 0.253
epoch #18	mean reward = -7.730	epsilon = 0.250
epoch #19	mean reward = -8.870	epsilon = 0.248
epoch #20	mean reward = -7.890	epsilon = 0.245
epoch #21	mean reward = -2.310	epsilon = 0.243
epoch #22	mean reward = -8.700	epsilon = 0.240
epoch #23	mean reward = -8.490	epsilon = 0.238
epoch #24	mean reward = -7.340	epsilon = 0.236
epoch #25	mean reward = -2.640	epsilon = 0.233
epoch #26	mean reward = -7.200	epsilon = 0.231
epoch #27	mean reward = -5.380	epsilon = 0.229
epoch #28	mean reward = -6.570	epsilon = 0.226
epoch #29	mean reward = -9.040	epsilon = 0.224
epoch #30	mean reward = -6.710	epsilon = 0.222
epoch #31	mean reward = 0.950	epsilon = 0.220
epoch #32	mean reward = -3.830	epsilon = 0.217
epoch #33	mean reward = -5.450	epsilon = 0.215
epoch #34	mean reward = -3.480	epsilon = 0.213
epoch #35	mean reward = 0.470	epsilon = 0.211
epoch #36	mean reward = -3.630	epsilon = 0.209
epoch #37	mean reward = -0.570	epsilon = 0.207
epoch #38	mean reward = -1.030	epsilon = 0.205
epoch #39	mean reward = -2.250	epsilon = 0.203
epoch #40	mean reward = -3.040	epsilon = 0.201
epoch #41	mean reward = -6.120	epsilon = 0.199
epoch #42	mean reward = -1.910	epsilon = 0.197
epoch #43	mean reward = -2.930	epsilon = 0.195
epoch #44	mean reward = -3.950	epsilon = 0.193
epoch #45	mean reward = -2.070	epsilon = 0.191
epoch #46	mean reward = -7.860	epsilon = 0.189
epoch #47	mean reward = -3.170	epsilon = 0.187
epoch #48	mean reward = -8.000	epsilon = 0.185
epoch #49	mean reward = -6.640	epsilon = 0.183
epoch #50	mean reward = -0.880	epsilon = 0.182
epoch #51	mean reward = -1.180	epsilon = 0.180
epoch #52	mean reward = 0.280	epsilon = 0.178
epoch #53	mean reward = 1.010	epsilon = 0.176
epoch #54	mean reward = -3.510	epsilon = 0.174
epoch #55	mean reward = 1.630	epsilon = 0.173
epoch #56	mean reward = -1.670	epsilon = 0.171
epoch #57	mean reward = -0.700	epsilon = 0.169
epoch #58	mean reward = 2.100	epsilon = 0.167
epoch #59	mean reward = 0.640	epsilon = 0.166
epoch #60	mean reward = -4.670	epsilon = 0.164
epoch #61	mean reward = 1.250	epsilon = 0.163
epoch #62	mean reward = -1.630	epsilon = 0.161
epoch #63	mean reward = -1.950	epsilon = 0.159
epoch #64	mean reward = -1.530	epsilon = 0.158
epoch #65	mean reward = 1.090	epsilon = 0.156
epoch #66	mean reward = 3.890	epsilon = 0.155
epoch #67	mean reward = 1.410	epsilon = 0.153
epoch #68	mean reward = -0.790	epsilon = 0.151
epoch #69	mean reward = -1.690	epsilon = 0.150
epoch #70	mean reward = 0.820	epsilon = 0.148
epoch #71	mean reward = 0.860	epsilon = 0.147
epoch #72	mean reward = 4.000	epsilon = 0.145
epoch #73	mean reward = -1.520	epsilon = 0.144
epoch #74	mean reward = -0.790	epsilon = 0.143
epoch #75	mean reward = 1.500	epsilon = 0.141
epoch #76	mean reward = 0.420	epsilon = 0.140
epoch #77	mean reward = 4.990	epsilon = 0.138
epoch #78	mean reward = -1.450	epsilon = 0.137
epoch #79	mean reward = 5.870	epsilon = 0.136
